zuj,orp,cnt,x,y,name
573671,5204,140,1016834.2765000003,648940.2919285712,Úhlejov
533947,2110,752,1047461.8349999974,672773.5028324459,Žiželice
590690,6113,53,1151001.6383018869,658991.9981132075,Hvězdoňovice
570494,5205,155,1046375.5503870969,665875.4349677418,Nové Město
551902,8120,47,1082355.465319149,536654.3746808511,Malá Štáhle
591211,6107,1213,1155806.452506184,630917.3539488876,Náměšť nad Oslavou
540862,7111,888,1075297.879177927,559603.0519594593,Rapotín
572039,5304,160,1069882.9846874992,665409.8139374998,Podhořany u Ronova
547069,3114,264,1181352.0268939382,723369.882121212,Rapšach
577154,5107,463,994515.5544492436,673788.3951187901,Chuchelna
534544,2104,172,1072193.0840697677,668783.9835465115,Vinaře
577936,5307,310,1079460.759516129,617851.2404516131,Cerekvice nad Loučnou
571890,5304,60,1072172.3723333331,640723.7715000001,Nabočany
517747,7101,182,1133893.6480769236,508740.1114285715,Skalička
581208,5315,369,1060036.089674798,604527.1164498645,Záchlumí
598992,3112,79,1135896.3824050631,746349.1400000004,Hodětín
599603,8105,590,1131107.6160847456,481150.2154915251,Lichnov
595136,6220,112,1186223.0283035715,636958.6694642857,Výrovice
582824,6216,1426,1155393.4702664798,593140.5807854139,Bílovice nad Svitavou
565661,2115,48,1014038.741875,689702.0614583335,Řitonice
552399,7112,98,1102930.1892857146,553277.3490816323,Želechovice
564443,5109,136,995513.3098529411,690605.6575000001,Svijany
532339,2124,201,1016393.2467164171,757058.1265671639,Hospozín
581437,6217,48,1136404.2752083333,604170.18625,Bukovice
592528,7207,381,1183375.278818898,532999.8796587925,Popovice
570214,5205,174,1039705.7118390799,654803.6322988501,Kunčice
589438,7108,120,1143371.557,560048.1345833334,Dobrochov
547956,6103,101,1104530.1422772268,695058.8393069307,Hořice
530697,5304,73,1073249.2884931506,655809.9839726029,Úherčice
583421,6208,547,1171621.5329616086,612322.1565447899,Moravské Bránice
599140,8111,474,1105516.4567932494,452951.76845991577,Stonava
535478,2115,309,1015725.107637541,712237.444563107,Bezno
564834,4208,190,1006364.8294210524,766722.3276842101,Evaň
531243,2102,865,1049791.730300578,770647.8329710973,Hýskov
571555,2124,100,1020160.7934000001,775164.7002000001,Líský
586501,6218,803,1204098.4733499363,548012.8342465749,Radějov
593460,6219,196,1159700.9317346932,562398.2279591833,Orlovice
583707,6216,441,1168195.4380045335,609031.4650113375,Prštice
560863,3215,330,1051823.4278787866,878439.9664848483,Halže
588253,6105,152,1126354.277960526,655374.7632894737,Zhoř
550205,3116,136,1161047.808897059,807924.5021323531,Horní Vltavice
564281,5105,335,965413.76922388,685042.323044776,Oldřichov v Hájích
574236,5209,78,1016334.7191025642,627076.6875641027,Mezilečí
585556,7211,172,1162351.1582558132,509129.6776744188,Neubuz
535834,2116,169,997467.8948520713,699918.6497041418,Horní Bukovina
505099,5209,84,1017690.1936904764,621835.1342857142,Červená Hora
548359,6111,61,1094818.5219672131,685873.648852459,Ostrov
551414,3111,101,1133937.8810891085,789552.5788118811,Miloňovice
580678,5314,45,1066270.4088888892,613054.2722222223,Nasavrky
579432,5215,584,995002.783356164,647921.8003595886,Lánov
580147,5313,638,1069480.7788871473,604207.5893260192,Libchavy
563846,5110,113,987482.5711504422,671579.100530974,Vlastiboř
546283,5106,150,975148.8404666666,720535.8829333333,Svojkov
578991,5308,103,1110287.6434951448,577784.5202912622,Vysoká
533513,2110,189,1062197.5819047613,705848.6479365077,Malotice
587460,6113,69,1161064.308695652,637070.2543478261,Stropešín
594199,6220,445,1206290.1962022483,630943.619146068,Jaroslavice
559130,3209,449,1070329.3343207112,814564.7329844105,Kyšice
569879,5205,168,1042613.4775595239,634130.0554761906,Blešno
519146,7109,943,1139713.7641887593,546339.7413255572,Tovačov
565393,4205,196,987949.9769897958,751007.7973979593,Ploskovice
586781,6210,268,1185317.3978731346,557547.3958955223,Žádovice
554677,4105,149,1032796.4922818801,860671.9829530207,Mnichov
587532,6105,77,1129340.464805195,678499.4383116885,Mirošov
